x,y,z
0.3125772428,0.3143739894,0.3143739894
0.3133545723,0.3152623659,0.3152623659
0.3141644832,0.3161879783,0.3161879783
0.3150076472,0.3171515942,0.3171515942
0.3158847296,0.3181539742,0.3181539742
0.3167963893,0.3191958709,0.3191958709
0.3177432777,0.320278029,0.320278029
0.3187260391,0.3214011848,0.3214011848
0.3197453098,0.3225660655,0.3225660655
0.3208017178,0.3237733889,0.3237733889
0.3218958829,0.3250238633,0.3250238633
0.3230284157,0.3263181864,0.3263181864
0.3241999179,0.327657046,0.327657046
0.3254109813,0.3290411184,0.3290411184
0.3266621881,0.330471069,0.330471069
0.3279541104,0.3319475515,0.3319475515
0.3292873095,0.3334712075,0.3334712075
0.3306623361,0.3350426665,0.3350426665
0.3320797301,0.3366625452,0.3366625452
0.3335400195,0.3383314473,0.3383314473
0.3350437212,0.3400499634,0.3400499634
0.3365913398,0.3418186704,0.3418186704
0.3381833682,0.3436381313,0.3436381313
0.3398202865,0.3455088949,0.3455088949
0.3415025623,0.3474314958,0.3474314958
0.3432306504,0.3494064535,0.3494064535
0.3450049924,0.3514342728,0.3514342728
0.3468260166,0.3535154433,0.3535154433
0.3486941378,0.3556504388,0.3556504388
0.350609757,0.3578397178,0.3578397178
0.3525732614,0.3600837227,0.3600837227
0.3545850238,0.3623828796,0.3623828796
0.3566454028,0.3647375984,0.3647375984
0.3587547428,0.3671482725,0.3671482725
0.360913373,0.3696152784,0.3696152784
0.3631216083,0.3721389758,0.3721389758
0.3653797483,0.3747197071,0.3747197071
0.3676880777,0.3773577977,0.3773577977
0.3700468657,0.3800535553,0.3800535553
0.3724563665,0.3828072703,0.3828072703
0.3749168183,0.3856192151,0.3856192151
0.3774284442,0.3884896446,0.3884896446
0.3799914513,0.3914187954,0.3914187954
0.3826060308,0.3944068861,0.3944068861
0.3852723583,0.3974541174,0.3974541174
0.3879905933,0.4005606715,0.4005606715
0.3907608789,0.4037267121,0.4037267121
0.3935833427,0.4069523848,0.4069523848
0.3964580955,0.4102378165,0.4102378165
0.3993852323,0.4135831155,0.4135831155
0.4023648315,0.4169883715,0.4169883715
0.4053969554,0.4204536558,0.4204536558
0.4084816498,0.4239790207,0.4239790207
0.4116189443,0.4275644999,0.4275644999
0.4148088519,0.4312101084,0.4312101084
0.4180513693,0.4349158424,0.4349158424
0.4213464768,0.4386816795,0.4386816795
0.4246941385,0.4425075783,0.4425075783
0.4280943017,0.446393479,0.446393479
0.4315468979,0.4503393029,0.4503393029
0.4350518418,0.4543449529,0.4543449529
0.4386090321,0.4584103131,0.4584103131
0.4422183513,0.4625352492,0.4625352492
0.4458796656,0.4667196082,0.4667196082
0.4495928252,0.4709632189,0.4709632189
0.4533576641,0.4752658917,0.4752658917
0.4571740006,0.4796274189,0.4796274189
0.4610416369,0.4840475745,0.4840475745
0.4649603595,0.4885261144,0.4885261144
0.4689299394,0.4930627769,0.4930627769
0.4729501317,0.4976572822,0.4976572822
0.4770206763,0.502309333,0.502309333
0.4811412978,0.5070186144,0.5070186144
0.4853117053,0.5117847942,0.5117847942
0.4895315933,0.5166075231,0.5166075231
0.4938006409,0.5214864344,0.5214864344
0.4981185129,0.526421145,0.526421145
0.5024848591,0.5314112548,0.5314112548
0.5068993153,0.5364563474,0.5364563474
0.5113615028,0.5415559899,0.5415559899
0.5158710288,0.5467097337,0.5467097337
0.5204274868,0.551917114,0.551917114
0.5250304565,0.5571776506,0.5571776506
0.5296795043,0.5624908478,0.5624908478
0.5343741832,0.5678561948,0.5678561948
0.5391140333,0.5732731661,0.5732731661
0.5438985818,0.5787412213,0.5787412213
0.5487273436,0.5842598059,0.5842598059
0.553599821,0.5898283512,0.5898283512
0.5585155044,0.5954462749,0.5954462749
0.5634738724,0.6011129809,0.6011129809
0.5684743922,0.6068278604,0.6068278604
0.5735165197,0.6125902915,0.6125902915
0.5785996996,0.6183996397,0.6183996397
0.5837233664,0.6242552586,0.6242552586
0.5888869439,0.6301564898,0.6301564898
0.594089846,0.6361026633,0.6361026633
0.5993314768,0.6420930982,0.6420930982
0.6046112311,0.6481271028,0.6481271028
0.6099284944,0.654203975,0.654203975
0.6152826439,0.6603230026,0.6603230026
0.6206730478,0.666483464,0.666483464
0.6260990668,0.6726846282,0.6726846282
0.6315600537,0.6789257557,0.6789257557
0.6370553538,0.6852060985,0.6852060985
0.642584306,0.6915249006,0.6915249006
0.648146242,0.6978813987,0.6978813987
0.6537404879,0.7042748223,0.7042748223
0.6593663638,0.7107043944,0.7107043944
0.6650231844,0.717169332,0.717169332
0.6707102596,0.7236688462,0.7236688462
0.6764268948,0.7302021432,0.7302021432
0.6821723912,0.7367684245,0.7367684245
0.6879460464,0.7433668873,0.7433668873
0.693747155,0.7499967253,0.7499967253
0.6995750086,0.7566571291,0.7566571291
0.7054288966,0.7633472864,0.7633472864
0.7113081066,0.7700663833,0.7700663833
0.717211925,0.7768136041,0.7768136041
0.7231396373,0.783588132,0.783588132
0.7290905284,0.7903891501,0.7903891501
0.7350638837,0.7972158416,0.7972158416
0.741058989,0.8040673902,0.8040673902
0.7470751315,0.8109429812,0.8109429812
0.7531115997,0.8178418018,0.8178418018
0.7591676849,0.8247630416,0.8247630416
0.7652426805,0.8317058934,0.8317058934
0.7713358838,0.838669554,0.838669554
0.7774465956,0.8456532242,0.8456532242
0.7835741212,0.8526561103,0.8526561103
0.7897177708,0.8596774239,0.8596774239
0.7958768605,0.8667163832,0.8667163832
0.8020507122,0.8737722133,0.8737722133
0.8082386546,0.8808441471,0.8808441471
0.8144400238,0.8879314259,0.8879314259
0.8206541639,0.8950333,0.8950333
0.8268804275,0.9021490294,0.9021490294
0.8331181763,0.9092778849,0.9092778849
0.839366782,0.9164191481,0.9164191481
0.8456256265,0.923572113,0.923572113
0.8518941031,0.9307360859,0.9307360859
0.8581716165,0.9379103866,0.9379103866
0.8644575842,0.9450943493,0.9450943493
0.8707514364,0.952287323,0.952287323
0.8770526174,0.9594886723,0.9594886723
0.8833605856,0.9666977784,0.9666977784
0.8896748147,0.97391404,0.97391404
0.8959947943,0.9811368734,0.9811368734
0.9023200304,0.9883657144,0.9883657144
0.9086500463,0.9956000179,0.9956000179
0.9149843833,1.00283926,1.00283926
0.9213226013,1.010082937,1.010082937
0.9276642798,1.017330569,1.017330569
0.9340090182,1.024581699,1.024581699
0.9403564372,1.031835891,1.031835891
0.9467061789,1.039092739,1.039092739
0.9530579081,1.046351857,1.046351857
0.9594113125,1.053612891,1.053612891
0.9657661042,1.06087551,1.06087551
0.9721220199,1.068139413,1.068139413
0.9784788219,1.075404329,1.075404329
0.984836299,1.082670017,1.082670017
0.9911942672,1.089936266,1.089936266
0.9975525705,1.097202898,1.097202898
1.003911082,1.104469768,1.104469768
1.010269704,1.111736764,1.111736764
1.01662837,1.11900381,1.11900381
1.022987044,1.126270867,1.126270867
1.029345703,1.133537904,1.133537904
1.035704253,1.140804818,1.140804818
1.042062506,1.148071394,1.148071394
1.048420186,1.155337312,1.155337312
1.054776927,1.162602159,1.162602159
1.061132287,1.169865428,1.169865428
1.067485749,1.177126527,1.177126527
1.073836728,1.184384788,1.184384788
1.080184575,1.19163947,1.19163947
1.086528583,1.198889764,1.198889764
1.092867991,1.206134802,1.206134802
1.09920199,1.213373658,1.213373658
1.105529729,1.220605359,1.220605359
1.111850316,1.227828886,1.227828886
1.118162824,1.235043181,1.235043181
1.124466299,1.242247152,1.242247152
1.130759758,1.249439676,1.249439676
1.137042199,1.256619609,1.256619609
1.143312601,1.263785782,1.263785782
1.149569931,1.270937016,1.270937016
1.155813144,1.278072116,1.278072116
1.162041191,1.285189883,1.285189883
